TIPID,Municipalities,ID_x,LineItemName_x,FY17GasTax,FY17RICAPHIP,FY17RIHMA,FY17RICAPprojects,FY17RICAPfacilities,FY17ProjectCloseouts,FY17IWAYLandSales,FY17GARVEE,FY17TollRevenue,FY17RailwayProgram,FY17HSIP,FY17TAP,FY17NHPP,FY17CMAQ,FY17Planning,FY17STP,FY17NationalFreight,FY17NHTSA,FY17FTA,FY17Earmarks,FY17TollCredits,FY17TransitBond,FY17allocation,ID_y,LineItemName_y,FY18GasTax,FY18RICAPHIP,FY18RIHMA,FY18RICAPprojects,FY18RICAPfacilities,FY18ProjectCloseouts,FY18IWAYLandSales,FY18GARVEE,FY18TollRevenue,FY18RailwayProgram,FY18HSIP,FY18TAP,FY18NHPP,FY18CMAQ,FY18Planning,FY18STP,FY18NationalFreight,FY18NHTSA,FY18FTA,FY18Earmarks,FY18TollCredits,FY18TransitBond,FY18allocation,ID_x,LineItemName_x,FY19GasTax,FY19RICAPHIP,FY19RIHMA,FY19RICAPprojects,FY19RICAPfacilities,FY19ProjectCloseouts,FY19IWAYLandSales,FY19GARVEE,FY19TollRevenue,FY19RailwayProgram,FY19HSIP,FY19TAP,FY19NHPP,FY19CMAQ,FY19Planning,FY19STP,FY19NationalFreight,FY19NHTSA,FY19FTA,FY19Earmarks,FY19TollCredits,FY19TransitBond,FY19allocation,ID_y,LineItemName_y,FY20GasTax,FY20RICAPHIP,FY20RIHMA,FY20RICAPprojects,FY20RICAPfacilities,FY20ProjectCloseouts,FY20IWAYLandSales,FY20GARVEE,FY20TollRevenue,FY20RailwayProgram,FY20HSIP,FY20TAP,FY20NHPP,FY20CMAQ,FY20Planning,FY20STP,FY20NationalFreight,FY20NHTSA,FY20FTA,FY20Earmarks,FY20TollCredits,FY20TransitBond,FY20allocation,ID,FY21allocation,FY22allocation,FY23allocation,FY24allocation,FY25allocation
9500.0,,3028.0,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,176.0,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,176.0,,,,,,,,,,9.5,,,,,,,,,,,0.0,0.0,0.0,9.5,176.0,,,,7.1,,,,,,42.6,,,,,,,,,,,0.0,0.0,0.0,49.7,108.0,49.4,39.3,32.5,23.9,0.0
802.0,,3029.0,,,,,,,,,,,,,,7.2,,,6.0,,,,0.0,0.0,0.0,13.2,401.0,Bridge Project Currently Under Construction,,,,,,,,,,,,,3.0,,,2.0,,,,0.0,0.0,0.0,5.0,69.0,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,69.0,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0
813.0,,3030.0,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,402.0,Bridge Group 01,,,,,,,,,,,,,0.824,,,,,,,0.0,0.0,0.0,0.8244,71.0,,,,,,,,,,,,,,,,,,5.359,,,0.0,0.0,0.0,5.3588,71.0,,,,,,,,,,,,,,,,,,5.359,,,0.0,0.0,0.0,5.3588,3.0,0.0,0.0,0.0,0.0,0.0
814.0,,3031.0,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,403.0,Bridge Group 02,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,72.0,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,72.0,,,1.036,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,1.0363,4.0,6.7357,6.7357,0.0,0.0,0.0
883.0,,3032.0,,,1.5,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,1.5,467.0,Bridge Group 02T (D),,,,,,,,,1.5,,,,,,,,,,,0.0,0.0,0.0,1.5,73.0,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,73.0,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,70.0,0.0,0.0,0.0,0.0,0.0
815.0,,3033.0,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,404.0,Bridge Group 03,,,,,,,,,,,,,0.875,,,,,,,0.0,0.0,0.0,0.875,74.0,,,,,,,,,,,,,,,,,5.189,,,,0.0,0.0,0.0,5.1889,74.0,,,,,,,,,,,,,,8.189,,,,,,,0.0,0.0,0.0,8.189,5.0,0.0,0.0,0.0,0.0,0.0
884.0,,3034.0,,,1.5,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,1.5,468.0,Bridge Group 03T (F),,,,,,,,,3.0,,,,,,,,,,,0.0,0.0,0.0,3.0,75.0,,,,,,,,,,3.5,,,,,,,,,,,0.0,0.0,0.0,3.5,75.0,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,71.0,0.0,0.0,0.0,0.0,0.0
816.0,,3035.0,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,405.0,Bridge Group 04,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,76.0,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,76.0,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,6.0,0.0,2.0062,7.29,6.29,0.0
817.0,,3036.0,,,,,,,,,,,,,,1.075,,,,,,,0.0,0.0,0.0,1.075,406.0,Bridge Group 05,,0.207,,,,,,,,,,,,,,,1.868,,,0.0,0.0,0.0,2.0749,77.0,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,77.0,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0
885.0,,3037.0,,,2.0,1.0,,,,,,,,,,,,,,,,,0.0,0.0,0.0,3.0,469.0,Bridge Group 05TB (B2),,0.28,,,,,,,,,,,,,,1.12,,,,0.0,0.0,0.0,1.4,78.0,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,78.0,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,72.0,0.0,0.0,0.0,0.0,0.0
886.0,,3038.0,,,0.5,0.4,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.9,470.0,Bridge Group 05TC (C),,,,,,,,,7.0,,,,,,,,,,,0.0,0.0,0.0,7.0,79.0,,,,,,,,,,1.0,,,,,,,,,,,0.0,0.0,0.0,1.0,79.0,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,73.0,0.0,0.0,0.0,0.0,0.0
818.0,,3039.0,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,407.0,Bridge Group 06,,,,,,,,,,,,,0.698,,,,,,,0.0,0.0,0.0,0.6975,80.0,,,,3.534,,,,,,,,,,0.0,,,,,,,0.0,0.0,0.0,3.5339,80.0,,,,,,,,,,,,,,,,,5.534,,,,0.0,0.0,0.0,5.5339,8.0,0.0,0.0,0.0,0.0,0.0
819.0,,3040.0,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,408.0,Bridge Group 07,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,81.0,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,81.0,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0
887.0,,3041.0,,,,,,,,0.0,,,,,,,,,,,,,0.0,0.0,0.0,0.0,471.0,Bridge Group 07T (A),,,,,,,,,2.0,,,,,,,,,,,0.0,0.0,0.0,2.0,82.0,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,82.0,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,74.0,0.0,0.0,0.0,0.0,0.0
