TIPID,Municipalities,ID_x,FY17GasTax,FY17RICAPHIP,FY17RIHMA,FY17RICAPprojects,FY17RICAPfacilities,FY17ProjectCloseouts,FY17IWAYLandSales,FY17GARVEE,FY17TollRevenue,FY17RailwayProgram,FY17HSIP,FY17TAP,FY17NHPP,FY17CMAQ,FY17Planning,FY17STP,FY17NationalFreight,FY17NHTSA,FY17FTA,FY17Earmarks,FY17TollCredits,FY17TransitBond,FY17allocation,ID_y,LineItemName_x,FY18GasTax,FY18RICAPHIP,FY18RIHMA,FY18RICAPprojects,FY18RICAPfacilities,FY18ProjectCloseouts,FY18IWAYLandSales,FY18GARVEE,FY18TollRevenue,FY18RailwayProgram,FY18HSIP,FY18TAP,FY18NHPP,FY18CMAQ,FY18Planning,FY18STP,FY18NationalFreight,FY18NHTSA,FY18FTA,FY18Earmarks,FY18TollCredits,FY18TransitBond,FY18Allocation,ID_x,LineItemName_y,FY19GasTax,FY19RICAPHIP,FY19RIHMA,FY19RICAPprojects,FY19RICAPfacilities,FY19ProjectCloseouts,FY19IWAYLandSales,FY19GARVEE,FY19TollRevenue,FY19RailwayProgram,FY19HSIP,FY19TAP,FY19NHPP,FY19CMAQ,FY19Planning,FY19STP,FY19NationalFreight,FY19NHTSA,FY19FTA,FY19Earmarks,FY19TollCredits,FY19TransitBond,FY19allocation,ID_y,LineItemName,FY20GasTax,FY20RICAPHIP,FY20RIHMA,FY20RICAPprojects,FY20RICAPfacilities,FY20ProjectCloseouts,FY20IWAYLandSales,FY20GARVEE,FY20TollRevenue,FY20RailwayProgram,FY20HSIP,FY20TAP,FY20NHPP,FY20CMAQ,FY20Planning,FY20STP,FY20NationalFreight,FY20NHTSA,FY20FTA,FY20Earmarks,FY20TollCredits,FY20TransitBond,FY20allocation,ID,FY21allocation,FY22allocation,FY23allocation,FY24allocation,FY25allocation
5005.0,Barrington,934,,,0.0,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,310,,,,0.0,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,309,,,,0.0,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,309,,,,0.0,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,309,0.0,0.17,0.0,0.62,9.61
5012.0,"Central Falls, Cumberland",1256,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,631,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,631,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,630,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,631,,,,,
5013.0,"Central Falls, Cumberland, Pawtucket",1257,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,632,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,632,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,631,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,632,,,,,
5016.0,Charlestown,1258,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,633,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,633,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,632,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,633,,,,,
5017.0,Coventry,1259,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,634,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,634,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,633,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,634,,,,,
5045.0,E. Providence,963,,,0.0,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,339,,,,0.0,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,338,,,,0.0,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,338,,,,0.0,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,338,0.0,0.0,0.0,0.0,2.5
5047.0,E. Providence,1264,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,639,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,639,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,638,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,639,,,,,
5060.0,Jamestown,972,,,0.0,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,348,,,,0.0,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,347,,,,0.0,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,347,,,,0.0,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,347,0.0,0.8,0.0,0.0,0.0
5061.0,Jamestown,973,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,0.0,0.0,349,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,0.0,0.0,348,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,0.0,0.0,348,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,0.0,0.0,348,0.0,0.0,0.0,0.0,0.0
5062.0,Jamestown,1266,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,641,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,641,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,640,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,641,,,,,
5065.0,Johnston,1269,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,644,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,644,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,643,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,644,,,,,
5066.0,"Johnston, N. Providence",1270,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,645,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,645,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,644,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,645,,,,,
5078.0,"Middletown, Newport, Portsmouth",979,,,0.0,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,355,,,,0.0,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,354,,,,0.0,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,354,,,,0.0,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,354,0.0,0.0,0.0,0.0,0.0
5079.0,"Middletown, Portsmouth",1273,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,648,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,648,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,647,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,648,,,,,
5080.0,"Middletown, Portsmouth",1274,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,649,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,649,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,648,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,649,,,,,
5081.0,"Middletown, Portsmouth",1275,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,650,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,650,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,649,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,650,,,,,
5089.0,Narragansett,983,,,0.62,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.62,359,,,,1.0,,,,,,,,,,,,,,,,,0.0,0.0,0.0,1.0,358,,,,1.14,,,,,,,,,,,,,,,,,0.0,0.0,0.0,1.14,358,,,,0.48,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.48,358,2.25,1.89,0.92,0.0,0.0
5110.0,Newport,1280,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,655,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,655,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,654,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,655,,,,,
5124.0,N. Kingstown,1284,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,659,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,659,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,658,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,659,,,,,
5132.0,Pawtucket,1286,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,661,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,661,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,660,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,661,,,,,
5153.0,Pawtucket,1288,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,663,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,663,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,662,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,663,,,,,
5157.0,Pawtucket,1033,,,0.0,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,409,,,,0.0,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,408,,,,0.0,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,408,,,,0.0,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,408,0.0,0.0,0.0,0.5,0.0
5161.0,Portsmouth,1036,,,0.0,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,412,,,,0.0,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,411,,,,0.0,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,411,,,,0.0,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,411,0.0,0.0,0.0,2.16,0.0
5162.0,Portsmouth,1037,,,0.0,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,413,,,,0.0,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,412,,,,0.0,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,412,,,,0.0,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,412,0.0,0.0,0.16,0.0,0.0
5163.0,Portsmouth,1289,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,664,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,664,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,663,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,664,,,,,
5178.0,Providence,1048,,,0.6,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.6,424,,,,1.0,,,,,,,,,,,,,,,,,0.0,0.0,0.0,1.0,423,,,,1.5,,,,,,,,,,,,,,,,,0.0,0.0,0.0,1.5,423,,,,1.0,,,,,,,,,,,,,,,,,0.0,0.0,0.0,1.0,423,1.88,0.0,0.0,0.0,0.0
