TIPID,Municipalities,BridgeGroup,FY16CMAQ,FY16FTA,FY16GARVEE,FY16GasTax,FY16HSIP,FY16IWAYLandSales,FY16NHPP,FY16NHTSA,FY16NationalFreight,FY16Planning,FY16ProjectCloseouts,FY16RICAPFacilities,FY16RICAPHIP,FY16RIHMA,FY16RailwayProgram,FY16STBGSA,FY16STP,FY16TAP,FY16TIGER,FY16TollRevenue,FY16TransitHubBond,FY16UnallocatedBonds,FY16allocation,FY16other,ID,RICAPProjects
5089.0,Narragansett,,,,,,,,,,,,,,,0.2,,,,,,,,,0.2,,154,
5320.0,Woonsocket; N. Smithfield,,,,,,,,,,,,,,,0.21,,1.18,,,,,,,1.39,,164,
9001.0,Coventry,,,,,,,,,,,,,,,,,,,,,,,,1.56,0.17,165,1.39
5014.0,Charlestown,,,,,,,,,,,,,,,,,,,,,,,,0.43,,166,0.43
5095.0,New Shoreham,,,,,,,,,,,,,,,0.6,,,,,,,,,0.6,,155,
5114.0,N. Kingstown,,,,,,,,,,,,,,,,,,,,,,,,0.3,,156,0.3
5156.0,Pawtucket,,,,,,,,,,,,,,0.5,,,,,,,,,,0.5,,157,
5217.0,Providence,,,,,,,,,,,,,,,0.04,,,,,,,,,0.04,,158,
5260.0,Tiverton,,,,,,,,,,,,,,,0.419,,,,,,,,,1.6,,160,1.181
5058.0,Hopkinton,,,,,,,,,,,,,,,0.12,,,,,,,,,0.12,,152,
5268.0,Warren,,,,,,,,,,,,,,,0.81,,,,,,,,,0.81,,161,
5253.0,Statewide,,,,,,,,,,,,,,,2.5,,,,,,,,,2.5,,159,
5001.0,Barrington,,,,,,,,,,,,,,,0.042,,,,,,,,,0.042,,149,
5002.0,Barrington,,,,,,,,,,,,,,,,,,,,,,,,0.048,,167,0.048
5021.0,Cranston,,,,,,,,,,,,,,,,,,,,,,,,0.049,,150,0.049
5039.0,E. Providence,,,,,,,,,,,,,,,,,,,,,,,,0.032,,168,0.032
