TIPID,Municipalities,FY17CMAQ,FY17Earmarks,FY17FTA,FY17GARVEE,FY17GasTax,FY17HSIP,FY17IWAYLandSales,FY17NHPP,FY17NHTSA,FY17NationalFreight,FY17Planning,FY17ProjectCloseouts,FY17RICAPHIP,FY17RICAPfacilities,FY17RICAPprojects,FY17RIHMA,FY17RailwayProgram,FY17STP,FY17TAP,FY17TollCredits,FY17TollRevenue,FY17TransitBond,FY17allocation,ID,LineItemName,ProjectName
5005.0,Barrington,,0.0,,,,,,,,,,,,,,0.0,,,,0.0,,0.0,0.0,934,,
5012.0,"Central Falls, Cumberland",,0.0,,,,,,,,,,,,,,,,,,0.0,,0.0,0.0,1256,,
5013.0,"Central Falls, Cumberland, Pawtucket",,0.0,,,,,,,,,,,,,,,,,,0.0,,0.0,0.0,1257,,
5016.0,Charlestown,,0.0,,,,,,,,,,,,,,,,,,0.0,,0.0,0.0,1258,,
5017.0,Coventry,,0.0,,,,,,,,,,,,,,,,,,0.0,,0.0,0.0,1259,,
5045.0,E. Providence,,0.0,,,,,,,,,,,,,,0.0,,,,0.0,,0.0,0.0,963,,
5047.0,E. Providence,,0.0,,,,,,,,,,,,,,,,,,0.0,,0.0,0.0,1264,,
5060.0,Jamestown,,0.0,,,,,,,,,,,,,,0.0,,,,0.0,,0.0,0.0,972,,
5061.0,Jamestown,,0.0,,,,,,,,,,,,,,,,0.0,,0.0,,0.0,0.0,973,,
5062.0,Jamestown,,0.0,,,,,,,,,,,,,,,,,,0.0,,0.0,0.0,1266,,
5065.0,Johnston,,0.0,,,,,,,,,,,,,,,,,,0.0,,0.0,0.0,1269,,
5066.0,"Johnston, N. Providence",,0.0,,,,,,,,,,,,,,,,,,0.0,,0.0,0.0,1270,,
5078.0,"Middletown, Newport, Portsmouth",,0.0,,,,,,,,,,,,,,0.0,,,,0.0,,0.0,0.0,979,,
5079.0,"Middletown, Portsmouth",,0.0,,,,,,,,,,,,,,,,,,0.0,,0.0,0.0,1273,,
5080.0,"Middletown, Portsmouth",,0.0,,,,,,,,,,,,,,,,,,0.0,,0.0,0.0,1274,,
5081.0,"Middletown, Portsmouth",,0.0,,,,,,,,,,,,,,,,,,0.0,,0.0,0.0,1275,,
5089.0,Narragansett,,0.0,,,,,,,,,,,,,,0.62,,,,0.0,,0.0,0.62,983,,
