TIPID,Municipalities,ID,LineItemName,FY20GasTax,FY20RICAPHIP,FY20RIHMA,FY20RICAPprojects,FY20RICAPfacilities,FY20ProjectCloseouts,FY20IWAYLandSales,FY20GARVEE,FY20TollRevenue,FY20RailwayProgram,FY20HSIP,FY20TAP,FY20NHPP,FY20CMAQ,FY20Planning,FY20STP,FY20NationalFreight,FY20NHTSA,FY20FTA,FY20Earmarks,FY20TollCredits,FY20TransitBond,FY20allocation
5005.0,Barrington,309,,,,0.0,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0
5012.0,"Central Falls, Cumberland",630,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0
5013.0,"Central Falls, Cumberland, Pawtucket",631,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0
5016.0,Charlestown,632,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0
5017.0,Coventry,633,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0
5045.0,E. Providence,338,,,,0.0,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0
5047.0,E. Providence,638,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0
5060.0,Jamestown,347,,,,0.0,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0
5061.0,Jamestown,348,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,0.0,0.0
5062.0,Jamestown,640,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0
5065.0,Johnston,643,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0
5066.0,"Johnston, N. Providence",644,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0
5078.0,"Middletown, Newport, Portsmouth",354,,,,0.0,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0
5079.0,"Middletown, Portsmouth",647,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0
5080.0,"Middletown, Portsmouth",648,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0
5081.0,"Middletown, Portsmouth",649,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0
5089.0,Narragansett,358,,,,0.48,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.48
5110.0,Newport,654,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0
5124.0,N. Kingstown,658,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0
5132.0,Pawtucket,660,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0
5153.0,Pawtucket,662,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0
5157.0,Pawtucket,408,,,,0.0,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0
5161.0,Portsmouth,411,,,,0.0,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0
5162.0,Portsmouth,412,,,,0.0,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0
5163.0,Portsmouth,663,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0
5178.0,Providence,423,,,,1.0,,,,,,,,,,,,,,,,,0.0,0.0,0.0,1.0
5189.0,Providence,665,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0
5198.0,Providence,667,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0
5199.0,Providence,437,,,,0.0,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0
5206.0,Providence,669,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0
5212.0,Providence,444,,,,0.0,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0
5215.0,"Providence, Cranston",446,,,,0.0,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0
5239.0,"Smithfield, Burrillville, N. Smithfield",676,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0
5245.0,S. Kingstown,678,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0
5247.0,S. Kingstown,679,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0
5263.0,Tiverton,683,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0
5271.0,Warren,485,,,,0.0,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0
5280.0,Warwick,685,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0
5291.0,Westerly,501,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,0.0,0.0
5293.0,Woonsocket,502,,,,0.0,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0
5318.0,Woonsocket; N. Smithfield,522,,,,0.0,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0
5319.0,Woonsocket; N. Smithfield,523,,,,0.0,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0
5320.0,Woonsocket; N. Smithfield,524,,,,0.0,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0
9001.0,Coventry,595,,,,0.0,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0
9002.0,Coventry,596,,,,0.0,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0
9003.0,Newport,597,,,,0.0,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0
9004.0,Newport,690,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0
9005.0,"Portsmouth, Middletown",598,,,,0.0,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0
9006.0,"Portsmouth, Middletown",691,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0
5007.0,Bristol,310,,,,0.0,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0
5014.0,Charlestown,315,,,,0.0,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0
5028.0,Cranston,325,,,,0.0,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0
5093.0,Narragansett,652,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0
5094.0,Narragansett,653,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0
5095.0,New Shoreham,362,,,,0.0,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0
5114.0,N. Kingstown,378,,,,0.0,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0
5155.0,Pawtucket,406,,,,0.0,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0
5156.0,Pawtucket,407,,,,0.0,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0
5171.0,Portsmouth,419,,,,0.0,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0
5217.0,Providence,447,,,,0.0,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0
5250.0,S. Kingstown,680,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0
5251.0,S. Kingstown,681,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0
5252.0,S. Kingstown,682,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0
5260.0,Tiverton,475,,,,0.0,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0
5275.0,Warwick,684,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0
5286.0,Westerly,496,,,,0.0,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0
5292.0,Westerly,687,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0
5307.0,Woonsocket,513,,,,0.0,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0
1460.0,Providence,193,,,,0.0,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0
5003.0,Barrington,628,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0
5006.0,Barrington,629,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0
5058.0,Hopkinton,346,,,,0.0,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0
5063.0,Jamestown,641,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0
5072.0,Middletown,353,,,,0.0,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0
5096.0,New Shoreham,363,,,,0.0,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0
5097.0,New Shoreham,364,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,0.0,0.0
5098.0,New Shoreham,365,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,0.0,0.0
5105.0,Newport,372,,,,0.0,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0
5106.0,Newport,373,,,,,,,,,,,,,,0.0,,,,,,,0.0,0.0,0.0,0.0
5107.0,Newport,374,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,0.0,0.0
5108.0,Newport,375,,,,0.0,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0
5112.0,Newport,377,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0
5120.0,N. Kingstown,380,,,,0.0,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0
5125.0,N. Kingstown,383,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0
5127.0,N. Kingstown,659,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0
5164.0,Portsmouth,413,,,,0.0,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0
5166.0,Portsmouth,415,,,,0.0,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0
5182.0,Providence,427,,,,0.0,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0
5183.0,Providence,428,,,,0.0,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0
5188.0,Providence,664,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0
5192.0,Providence,666,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0
5193.0,Providence,433,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,0.0,0.0
5194.0,Providence,434,,,,,,,,,,,,0.0,,,,,,,,,0.0,0.0,0.0,0.0
5200.0,Providence,438,,,,0.0,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0
5202.0,Providence,440,,,,0.0,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0
5207.0,Providence,670,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0
5210.0,Providence,672,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0
5211.0,Providence,673,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0
5223.0,Scituate,674,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0
5229.0,Smithfield,456,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,0.0,0.0
5231.0,Smithfield,458,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,0.0,0.0
5232.0,Smithfield,459,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,0.0,0.0
5235.0,Smithfield,675,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0
5236.0,Smithfield,462,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,0.0,0.0
5243.0,S. Kingstown,677,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0
5268.0,Warren,482,,,,0.0,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0
5269.0,Warren,483,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0
5270.0,Warren,484,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0
5309.0,Woonsocket,514,,,,0.0,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0
9007.0,"Central Falls, Cumberland, Pawtucket",599,,,,1.09,,,,,,,,,1.21,,,,,,,,0.0,0.0,0.0,2.3
5020.0,Coventry,634,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0
5068.0,Lincoln,645,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0
5253.0,Statewide,469,,,,0.57,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.57
5295.0,"Woonsocket, N. Smithfield, Lincoln, Central Falls, Cumberland, Pawtucket, Providence",688,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0
5001.0,Barrington,306,,,,0.063,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.063
5002.0,Barrington,307,,,,0.072,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.072
5021.0,Cranston,319,,,,0.0735,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0735
5039.0,E. Providence,334,,,,0.048,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.048
5040.0,E. Providence,335,,,,0.0255,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0255
5059.0,Jamestown,639,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0
5088.0,Narragansett,357,,,,0.12,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.12
5109.0,Newport,376,,,,0.0,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0
5150.0,Pawtucket,661,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0
5203.0,Providence,668,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0
5224.0,Smithfield,453,,,,0.0405,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0405
5267.0,Warren,481,,,,0.255,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.255
5285.0,Westerly,495,,,,0.1305,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.1305
5294.0,Woonsocket,503,,,,0.0585,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0585
5011.0,"Pawtucket, Central Falls",314,,,0.88,,,,,,,,,,,,,,,,,2.7,0.0,0.0,0.0,3.58
5064.0,Jamestown,642,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0
5073.0,"Middletown, Newport, Portsmouth",646,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0
5111.0,Newport,655,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0
5113.0,"Newport, Middletown, Portsmouth, Providence",656,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0
5195.0,Providence,435,,,,,,,,,,,,,,0.0,,,,,,,0.0,0.0,0.0,0.0
5204.0,Providence,441,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0
5208.0,Providence,671,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0
5249.0,S. Kingstown,468,,,,0.0,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0
5254.0,Statewide,470,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0
5255.0,Statewide,471,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0
5256.0,Statewide,472,,,0.4,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.4
5308.0,Woonsocket,689,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0
9008.0,Statewide,692,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0
9009.0,Statewide,693,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0
7109.0,Statewide,537,,1.0,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,1.0
1296.0,Barrington,60,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,0.0,0.0
1297.0,Barrington,61,,,,,,,,,,,,,,0.0,,,,,,,0.0,0.0,0.0,0.0
5004.0,Barrington,308,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0
1290.0,"Barrington, E. Providence",54,,,,,,,,,,,,,,5.4,,,,,,,0.0,0.0,0.0,5.4
1298.0,"Barrington, E. Providence",62,,,,,,,,,,,,,,0.0,,,,,,,0.0,0.0,0.0,0.0
1300.0,Bristol,64,,,,,,,,,,,,,,2.7,,,,,,,0.0,0.0,0.0,2.7
1301.0,Bristol,65,,,,,,,,,,,,,,0.0,,,,,,,0.0,0.0,0.0,0.0
1299.0,Bristol,63,,,,,,,,,,,,,,0.0,,,,,,,0.0,0.0,0.0,0.0
1302.0,Burrillville,66,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,0.0,0.0
1304.0,Burrillville,67,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,0.0,0.0
5009.0,Burrillville,312,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,0.0,0.0
5008.0,Burrillville,311,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,0.0,0.0
1305.0,Central Falls,68,,,,,,,,,,,,,,0.0,,,,,,,0.0,0.0,0.0,0.0
1306.0,"Central Falls, Pawtucket",69,,,,,,,,,,,,,,0.0,,,,,,,0.0,0.0,0.0,0.0
1307.0,"Central Falls, Pawtucket, Cumberland",70,,,,,,,,,,,,,,0.0,,,,,,,0.0,0.0,0.0,0.0
1317.0,"Central Falls, Pawtucket, Cumberland",78,,,,,,,,,,,,,,0.0,,,,,,,0.0,0.0,0.0,0.0
1308.0,Charlestown,71,,,0.25,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.25
1311.0,Coventry,73,,,0.0,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0
1309.0,Coventry,72,,,0.1,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.1
5018.0,Coventry,317,,,,,,,,,,,,,,0.0,,,,,,,0.0,0.0,0.0,0.0
5019.0,Coventry,318,,,,,,,,,,,,,,0.0,,,,,,,0.0,0.0,0.0,0.0
1313.0,"Coventry, W. Warwick",74,,,,,,,,,,,,,,0.0,,,,,,,0.0,0.0,0.0,0.0
1314.0,Cranston,75,,,,,,,1.8,,,,,,,,,,,,,,0.0,0.0,0.0,1.8
1315.0,Cranston,76,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,0.0,0.0
5026.0,Cranston,323,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0
5027.0,Cranston,324,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,0.0,0.0
1318.0,Cumberland,79,,,,,,,,,,,,,,0.0,,,,,,,0.0,0.0,0.0,0.0
1319.0,Cumberland,80,,,0.0,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0
1321.0,Cumberland,81,,,,,,,,,,,,,,0.0,,,,,,,0.0,0.0,0.0,0.0
1322.0,Cumberland,82,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,0.0,0.0
5031.0,Cumberland,328,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,0.0,0.0
1284.0,E. Greenwich,49,,,,,,,,,,,,,,0.0,,,,,,,0.0,0.0,0.0,0.0
5038.0,E. Greewich,333,,,,,,,,,,,,,,0.0,,,,,,,0.0,0.0,0.0,0.0
1323.0,E. Providence,83,,,,,,,,,,,,,,0.0,,,,,,,0.0,0.0,0.0,0.0
1325.0,E. Providence,85,,,,,,,,,,,,,1.3,0.0,,,,,,,0.0,0.0,0.0,1.3
1326.0,E. Providence,86,,,,,,,,,,,,,,0.0,,,,,,,0.0,0.0,0.0,0.0
1272.0,E. Providence,39,,,,,,,,,,,,,,0.0,,,,,,,0.0,0.0,0.0,0.0
1273.0,E. Providence,40,,,,,,,,,,,,,,0.0,,,,,,,0.0,0.0,0.0,0.0
1295.0,E. Providence,59,,,,,,,,,,,,,,0.0,,,,,,,0.0,0.0,0.0,0.0
1324.0,E. Providence,84,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,0.0,0.0
5050.0,E. Providence,342,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0
5048.0,E. Providence,340,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0
5041.0,E. Providence,336,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0
5046.0,E. Providence,339,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,0.0,0.0
5049.0,E. Providence,341,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0
1327.0,"Foster, Glocester",87,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,0.0,0.0
1579.0,"Foster, Scituate",305,,,,,,,,,,,,,,0.0,,,,,,,0.0,0.0,0.0,0.0
1328.0,Glocester,88,,,,,,,,,,,,,,0.0,,,,,,,0.0,0.0,0.0,0.0
1329.0,Glocester,89,,,,,,,,,,,,,,,,,5.0,,,,0.0,0.0,0.0,5.0
1330.0,Glocester,90,,,,,,,,,,,,,,0.0,,,,,,,0.0,0.0,0.0,0.0
1333.0,Hopkinton,93,,,0.0,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0
1331.0,Hopkinton,91,,,,,,,,,,,,,,0.0,,,,,,,0.0,0.0,0.0,0.0
1334.0,Hopkinton,94,,,,,,,,,,,,,,,,,0.2,,,,0.0,0.0,0.0,0.2
1332.0,Hopkinton,92,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,0.0,0.0
1316.0,Hopkinton,77,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,0.0,0.0
9501.0,Hopkinton,618,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,0.0,0.0
5057.0,Hopkinton,345,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,0.0,0.0
1335.0,"Hopkinton, Richmond",95,,,,,,,0.0,,,,,,,,,,,,,,0.0,0.0,0.0,0.0
1336.0,Jamestown,96,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,0.0,0.0
1340.0,Johnston,100,,,,,,,,,,,,,,0.0,,,,,,,0.0,0.0,0.0,0.0
1337.0,Johnston,97,,,,,,,,,,,,,,0.0,,,,,,,0.0,0.0,0.0,0.0
1339.0,Johnston,99,,,,,,,,,,,,,,,,,5.1,,,,0.0,0.0,0.0,5.1
1338.0,Johnston,98,,,,,,,,,,,,,,,,,1.5,,,,0.0,0.0,0.0,1.5
1341.0,"Johnston, Smithfield",101,,,,,,,,,,,,,,0.0,,,,,,,0.0,0.0,0.0,0.0
1275.0,"Johnston, Smithfield, Lincoln",42,,,,,,,,,,,,,,0.0,,,,,,,0.0,0.0,0.0,0.0
1342.0,Lincoln,102,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,0.0,0.0
