TIPID,Municipalities,ID,FY21allocation,FY22allocation,FY23allocation,FY24allocation,FY25allocation
5005.0,Barrington,309,0.0,0.17,0.0,0.62,9.61
5012.0,"Central Falls, Cumberland",631,,,,,
5013.0,"Central Falls, Cumberland, Pawtucket",632,,,,,
5016.0,Charlestown,633,,,,,
5017.0,Coventry,634,,,,,
5045.0,E. Providence,338,0.0,0.0,0.0,0.0,2.5
5047.0,E. Providence,639,,,,,
5060.0,Jamestown,347,0.0,0.8,0.0,0.0,0.0
5061.0,Jamestown,348,0.0,0.0,0.0,0.0,0.0
5062.0,Jamestown,641,,,,,
5065.0,Johnston,644,,,,,
5066.0,"Johnston, N. Providence",645,,,,,
5078.0,"Middletown, Newport, Portsmouth",354,0.0,0.0,0.0,0.0,0.0
5079.0,"Middletown, Portsmouth",648,,,,,
5080.0,"Middletown, Portsmouth",649,,,,,
5081.0,"Middletown, Portsmouth",650,,,,,
5089.0,Narragansett,358,2.25,1.89,0.92,0.0,0.0
5110.0,Newport,655,,,,,
5124.0,N. Kingstown,659,,,,,
5132.0,Pawtucket,661,,,,,
5153.0,Pawtucket,663,,,,,
5157.0,Pawtucket,408,0.0,0.0,0.0,0.5,0.0
5161.0,Portsmouth,411,0.0,0.0,0.0,2.16,0.0
5162.0,Portsmouth,412,0.0,0.0,0.16,0.0,0.0
5163.0,Portsmouth,664,,,,,
5178.0,Providence,423,1.88,0.0,0.0,0.0,0.0
5189.0,Providence,666,,,,,
5198.0,Providence,668,,,,,
5199.0,Providence,437,0.0,0.0,0.5,0.55,0.75
5206.0,Providence,670,,,,,
5212.0,Providence,444,0.0,0.0,0.0,0.0,0.0
5215.0,"Providence, Cranston",446,0.0,0.86,0.0,0.85,0.0
5239.0,"Smithfield, Burrillville, N. Smithfield",677,,,,,
5245.0,S. Kingstown,679,,,,,
5247.0,S. Kingstown,680,,,,,
5263.0,Tiverton,684,,,,,
5271.0,Warren,485,0.0,2.0,0.0,0.0,0.0
5280.0,Warwick,686,,,,,
5291.0,Westerly,501,0.0,0.0,0.0,0.0,0.0
5293.0,Woonsocket,502,0.0,0.0,0.0,0.0,0.0
5318.0,Woonsocket; N. Smithfield,522,0.0,0.0,0.0,0.0,0.0
5319.0,Woonsocket; N. Smithfield,523,0.0,0.0,2.64,0.0,0.0
5320.0,Woonsocket; N. Smithfield,524,0.0,0.0,0.0,0.0,0.0
9001.0,Coventry,596,0.0,0.0,0.0,0.0,0.0
9002.0,Coventry,597,0.0,0.0,2.75,2.75,0.0
9003.0,Newport,598,1.44,2.16,2.16,1.44,0.0
9004.0,Newport,691,,,,,
9005.0,"Portsmouth, Middletown",599,1.3,1.7,0.0,0.0,0.0
9006.0,"Portsmouth, Middletown",692,,,,,
5007.0,Bristol,310,0.0,0.0,0.0,0.0,0.82
5014.0,Charlestown,315,0.0,0.0,0.0,0.0,0.0
5028.0,Cranston,325,0.0,0.0,0.0,0.0,0.0
5093.0,Narragansett,653,,,,,
5094.0,Narragansett,654,,,,,
5095.0,New Shoreham,362,0.0,0.0,0.0,0.0,0.0
5114.0,N. Kingstown,378,0.0,0.0,0.0,0.0,0.0
5155.0,Pawtucket,406,0.0,0.0,0.0,0.0,0.0
5156.0,Pawtucket,407,0.0,0.0,0.0,0.0,0.0
5171.0,Portsmouth,419,0.0,0.08,0.0,0.0,0.0
5217.0,Providence,447,0.0,0.0,0.0,0.0,0.0
5250.0,S. Kingstown,681,,,,,
5251.0,S. Kingstown,682,,,,,
5252.0,S. Kingstown,683,,,,,
5260.0,Tiverton,475,0.0,0.0,0.0,0.0,0.0
5275.0,Warwick,685,,,,,
5286.0,Westerly,496,0.0,1.4,0.0,0.0,0.0
5292.0,Westerly,688,,,,,
5307.0,Woonsocket,513,0.0,0.0,0.39,0.0,0.0
1460.0,Providence,193,1.0,1.0,1.13,0.0,0.0
5003.0,Barrington,629,,,,,
5006.0,Barrington,630,,,,,
5058.0,Hopkinton,346,0.0,0.0,0.0,0.0,0.0
5063.0,Jamestown,642,,,,,
5072.0,Middletown,353,0.28,0.36,0.0,0.0,0.0
5096.0,New Shoreham,363,0.0,0.0,0.0,0.0,0.0
5097.0,New Shoreham,364,0.0,0.0,0.0,0.0,0.0
5098.0,New Shoreham,365,0.0,0.0,0.0,0.0,0.0
5105.0,Newport,372,1.7,1.7,1.99,1.15,1.96
5106.0,Newport,373,0.0,0.0,0.0,0.0,0.0
5107.0,Newport,374,0.0,0.0,0.0,0.0,0.0
5108.0,Newport,375,1.9,0.0,0.0,0.0,0.0
5112.0,Newport,377,0.0,0.0,0.0,0.0,0.0
5120.0,N. Kingstown,380,0.0,0.0,0.0,0.0,0.0
5125.0,N. Kingstown,383,0.0,0.0,0.0,0.0,0.0
5127.0,N. Kingstown,660,,,,,
5164.0,Portsmouth,413,2.0,0.0,0.0,0.0,0.0
5166.0,Portsmouth,415,0.0,0.0,0.0,0.0,0.0
5182.0,Providence,427,0.0,0.0,0.48,0.0,0.0
5183.0,Providence,428,0.0,0.0,0.0,0.0,0.0
5188.0,Providence,665,,,,,
5192.0,Providence,667,,,,,
5193.0,Providence,433,0.0,0.0,0.0,0.0,0.0
5194.0,Providence,434,0.0,0.0,0.0,0.0,0.0
5200.0,Providence,438,0.0,0.0,0.0,0.0,0.05
5202.0,Providence,440,0.0,1.0,1.0,1.0,1.05
5207.0,Providence,671,,,,,
5210.0,Providence,673,,,,,
5211.0,Providence,674,,,,,
5223.0,Scituate,675,,,,,
