TIPID,Municipalities,BridgeGroup,FY16CMAQ,FY16FTA,FY16GARVEE,FY16GasTax,FY16HSIP,FY16IWAYLandSales,FY16NHPP,FY16NHTSA,FY16NationalFreight,FY16Planning,FY16ProjectCloseouts,FY16RICAPFacilities,FY16RICAPHIP,FY16RIHMA,FY16RailwayProgram,FY16STBGSA,FY16STP,FY16TAP,FY16TIGER,FY16TollRevenue,FY16TransitHubBond,FY16UnallocatedBonds,FY16allocation,FY16other,ID,RICAPProjects
5005.0,Barrington,,,,,,,,,,,,,,,,,,,,,,,,,,,
5012.0,"Central Falls, Cumberland",,,,,,,,,,,,,,,,,,,,,,,,,,,
5013.0,"Central Falls, Cumberland, Pawtucket",,,,,,,,,,,,,,,,,,,,,,,,,,,
5016.0,Charlestown,,,,,,,,,,,,,,,,,,,,,,,,,,,
5017.0,Coventry,,,,,,,,,,,,,,,,,,,,,,,,,,,
5045.0,E. Providence,,,,,,,,,,,,,,,,,,,,,,,,,,,
5047.0,E. Providence,,,,,,,,,,,,,,,,,,,,,,,,,,,
5060.0,Jamestown,,,,,,,,,,,,,,,,,,,,,,,,,,,
5061.0,Jamestown,,,,,,,,,,,,,,,,,,,,,,,,,,,
5062.0,Jamestown,,,,,,,,,,,,,,,,,,,,,,,,,,,
5065.0,Johnston,,,,,,,,,,,,,,,,,,,,,,,,,,,
5066.0,"Johnston, N. Providence",,,,,,,,,,,,,,,,,,,,,,,,,,,
5078.0,"Middletown, Newport, Portsmouth",,,,,,,,,,,,,,,,,,,,,,,,,,,
5079.0,"Middletown, Portsmouth",,,,,,,,,,,,,,,,,,,,,,,,,,,
5080.0,"Middletown, Portsmouth",,,,,,,,,,,,,,,,,,,,,,,,,,,
5081.0,"Middletown, Portsmouth",,,,,,,,,,,,,,,,,,,,,,,,,,,
5089.0,Narragansett,,,,,,,,,,,,,,,0.2,,,,,,,,,0.2,,154.0,
5110.0,Newport,,,,,,,,,,,,,,,,,,,,,,,,,,,
5124.0,N. Kingstown,,,,,,,,,,,,,,,,,,,,,,,,,,,
5132.0,Pawtucket,,,,,,,,,,,,,,,,,,,,,,,,,,,
5153.0,Pawtucket,,,,,,,,,,,,,,,,,,,,,,,,,,,
5157.0,Pawtucket,,,,,,,,,,,,,,,,,,,,,,,,,,,
5161.0,Portsmouth,,,,,,,,,,,,,,,,,,,,,,,,,,,
5162.0,Portsmouth,,,,,,,,,,,,,,,,,,,,,,,,,,,
