FY17CMAQ,FY17Earmarks,FY17FTA,FY17GARVEE,FY17GasTax,FY17HSIP,FY17IWAYLandSales,FY17NHPP,FY17NHTSA,FY17NationalFreight,FY17Planning,FY17ProjectCloseouts,FY17RICAPHIP,FY17RICAPfacilities,FY17RICAPprojects,FY17RIHMA,FY17RailwayProgram,FY17STP,FY17TAP,FY17TollCredits,FY17TollRevenue,FY17TransitBond,FY17allocation,ID,LineItemName,ProjectName,TIPID
,0.0,,,,,,,,,,,,,,,,1.0,,0.0,,0.0,1.0,654,,,1116
,0.0,,,0.15,,,,,,,,,,,,,,,0.0,,0.0,0.15,655,,,1117
,0.0,,,1.0,,,,,,,,,,,,,,,0.0,,0.0,1.0,656,,,1118
,0.0,,,,,,6.48,,,,,3.41,,,,,13.91,,0.0,,0.0,23.8,657,,,1264
,0.0,,,,,,1.0,,,,,0.5,,,,,1.0,,0.0,,0.0,2.5,658,,,1265
,0.0,,,,,,0.0,,,,,,,,,,,,0.0,,0.0,0.0,659,,,1267
,0.0,,,,,,0.0,,,,,,,,,,,,0.0,,0.0,0.0,660,,,1268
,0.0,,,,,,7.8,,,,,,,,,,,,0.0,,0.0,7.8,661,,,1269
,0.0,,,,,,0.0,,,,,,,,,,,,0.0,,0.0,0.0,662,,,1270
,0.0,,,,,,0.1,,,,,,,,,,,,0.0,,0.0,0.1,663,,,1271
,0.0,,,,,,0.0,,,,,,,,,,,,0.0,,0.0,0.0,664,,,1272
,0.0,,,,,,0.0,,,,,,,,,,,,0.0,,0.0,0.0,665,,,1273
,0.0,,,,,,0.0,,,,,,,,,,,,0.0,,0.0,0.0,666,,,1274
,0.0,,,,,,0.0,,,,,,,,,,,,0.0,,0.0,0.0,667,,,1275
,0.0,,,,,,0.0,,,,,,,,,,,,0.0,,0.0,0.0,668,,,1276
,0.0,,,,,,0.1,,,,,,,,,,,,0.0,,0.0,0.1,669,,,1277
,0.0,,,,,,0.0,,,,,,,,,,,,0.0,,0.0,0.0,670,,,1279
,0.0,,,,,,0.0,,,,,,,,,,,,0.0,,0.0,0.0,671,,,1280
,0.0,,,,,,0.0,,,,,,,,,,,,0.0,,0.0,0.0,672,,,1281
,0.0,,,,,,0.0,,,,,,,,,,,,0.0,,0.0,0.0,673,,,1283
,0.0,,,,,,6.5,,,,,,,,,,,,0.0,,0.0,6.5,674,,,1284
,0.0,,,,,,0.0,,,,,,,,,,,,0.0,,0.0,0.0,675,,,1285
,0.0,,,,,,0.1,,,,,,,,,,,,0.0,,0.0,0.1,676,,,1286
,0.0,,,,,,0.0,,,,,,,,,,,,0.0,,0.0,0.0,677,,,1287
,0.0,,,,,,0.0,,,,,,,,,,,,0.0,,0.0,0.0,678,,,1289
,0.0,,,,,,0.0,,,,,,,,,,,,0.0,,0.0,0.0,679,,,1290
,0.0,,,,,,5.0,,,,,,,,,,,,0.0,,0.0,5.0,680,,,1291
,0.0,,,,,,0.0,,,,,,,,,,,,0.0,,0.0,0.0,681,,,1292
,0.0,,,,,,0.0,,,,,,,,,,,,0.0,,0.0,0.0,682,,,1293
,0.0,,,,,,0.0,,,,,,,,,,,,0.0,,0.0,0.0,683,,,1294
,0.0,,,,,,0.0,,,,,,,,,,,,0.0,,0.0,0.0,684,,,1295
,0.0,,,,,,,,,,,,,,,,0.3,,0.0,,0.0,0.3,685,,,1296
,0.0,,,,,,0.0,,,,,,,,,,,,0.0,,0.0,0.0,686,,,1297
,0.0,,,,,,0.0,,,,,,,,,,,,0.0,,0.0,0.0,687,,,1298
,0.0,,,,,,0.0,,,,,,,,,,,,0.0,,0.0,0.0,688,,,1299
,0.0,,,,,,0.0,,,,,,,,,,,,0.0,,0.0,0.0,689,,,1300
,0.0,,,,,,0.0,,,,,,,,,,,,0.0,,0.0,0.0,690,,,1301
,0.0,,,,,,,,,,,,,,,,0.0,,0.0,,0.0,0.0,691,,,1302
,0.0,,,,,,,,,,,,,,,,0.0,,0.0,,0.0,0.0,692,,,1304
,0.0,,,,,,0.0,,,,,,,,,,,,0.0,,0.0,0.0,693,,,1305
,0.0,,,,,,0.0,,,,,,,,,,,,0.0,,0.0,0.0,694,,,1306
,0.0,,,,,,0.0,,,,,,,,,,,,0.0,,0.0,0.0,695,,,1307
,0.0,,,,,,,,,,,0.0,,,,,,,0.0,,0.0,0.0,696,,,1308
,0.0,,,,,,,,,,,0.0,,,,,,,0.0,,0.0,0.0,697,,,1309
,0.0,,,,,,,,,,,0.0,,,,,,,0.0,,0.0,0.0,698,,,1311
,0.0,,,,,,0.0,,,,,,,,,,,,0.0,,0.0,0.0,699,,,1313
,0.0,,,,,,0.0,,,,,,,,,,,,0.0,,0.0,0.0,700,,,1314
,0.0,,,,,,,,,,,,,,,,0.0,,0.0,,0.0,0.0,701,,,1315
,0.0,,,,,,,,,,,,,,,,1.6,,0.0,,0.0,1.6,702,,,1316
,0.0,,,,,,0.0,,,,,,,,,,,,0.0,,0.0,0.0,703,,,1317
,0.0,,,,,,0.0,,,,,,,,,,,,0.0,,0.0,0.0,704,,,1318
,0.0,,,,,,,,,,,0.0,,,,,,,0.0,,0.0,0.0,705,,,1319
,0.0,,,,,,0.0,,,,,,,,,,,,0.0,,0.0,0.0,706,,,1321
,0.0,,,,,,,,,,,,,,,,0.0,,0.0,,0.0,0.0,707,,,1322
,0.0,,,,,,0.0,,,,,,,,,,,,0.0,,0.0,0.0,708,,,1323
,0.0,,,,,,,,,,,,,,,,0.0,,0.0,,0.0,0.0,709,,,1324
,0.0,,,,,,0.0,,,,,,,,,,,,0.0,,0.0,0.0,710,,,1325
,0.0,,,,,,0.0,,,,,,,,,,,,0.0,,0.0,0.0,711,,,1326
,0.0,,,,,,,,,,,,,,,,0.0,,0.0,,0.0,0.0,712,,,1327
,0.0,,,,,,0.2,,,,,,,,,,,,0.0,,0.0,0.2,713,,,1328
,0.0,,,,,,,,,,,,,,,,0.0,,0.0,,0.0,0.0,714,,,1329
,0.0,,,,,,1.6,,,,,,,,,,,,0.0,,0.0,1.6,715,,,1330
,0.0,,,,,,0.0,,,,,,,,,,,,0.0,,0.0,0.0,716,,,1331
,0.0,,,,,,,,,,,,,,,,0.0,,0.0,,0.0,0.0,717,,,1332
,0.0,,,,,,,,,,,0.0,,,,,,,0.0,,0.0,0.0,718,,,1333
,0.0,,,,,,,,,,,,,,,,0.0,,0.0,,0.0,0.0,719,,,1334
,0.0,,,,,,,,,,0.1,,,,,,,,0.0,,0.0,0.1,720,,,1335
,0.0,,,,,,,,,,,,,,,,0.0,,0.0,,0.0,0.0,721,,,1336
,0.0,,,,,,0.0,,,,,,,,,,,,0.0,,0.0,0.0,722,,,1337
,0.0,,,,,,,,,,,,,,,,0.0,,0.0,,0.0,0.0,723,,,1338
,0.0,,,,,,,,,,,,,,,,0.0,,0.0,,0.0,0.0,724,,,1339
,0.0,,,,,,0.0,,,,,,,,,,,,0.0,,0.0,0.0,725,,,1340
,0.0,,,,,,0.0,,,,,,,,,,,,0.0,,0.0,0.0,726,,,1341
,0.0,,,,,,,,,,,,,,,,0.0,,0.0,,0.0,0.0,727,,,1342
,0.0,,,,,,,,,,,,,,,,0.0,,0.0,,0.0,0.0,728,,,1343
,0.0,,,,,,,,,,,,,,,,0.0,,0.0,,0.0,0.0,729,,,1346
,0.0,,,,,,,,,,,,,,,,0.0,,0.0,,0.0,0.0,730,,,1347
,0.0,,,,,,0.0,,,,,,,,,,,,0.0,,0.0,0.0,731,,,1348
,0.0,,,,,,,,,,,0.0,,,,,,,0.0,,0.0,0.0,732,,,1349
,0.0,,,,,,,,,,,,,,,,0.0,,0.0,,0.0,0.0,733,,,1350
,0.0,,,,,,,,,,,,,,,,0.0,,0.0,,0.0,0.0,734,,,1351
,0.0,,,,,,,,,,,,,,,,0.0,,0.0,,0.0,0.0,735,,,1352
,0.0,,,,,,,,,,0.1,,,,,,,,0.0,,0.0,0.1,736,,,1353
,0.0,,,,,,,,,,,0.0,,,,,,,0.0,,0.0,0.0,737,,,1354
,0.0,,,,,,0.0,,,,,,,,,,,,0.0,,0.0,0.0,738,,,1355
,0.0,,,,,,0.0,,,,,,,,,,,,0.0,,0.0,0.0,739,,,1357
,0.0,,,,,,,,,,,,,,,,0.0,,0.0,,0.0,0.0,740,,,1358
,0.0,,,,,,,,,,,,,,,,0.0,,0.0,,0.0,0.0,741,,,1359
,0.0,,,,,,0.0,,,,,,,,,,,,0.0,,0.0,0.0,742,,,1360
,0.0,,,,,,,,,,,,,,,,0.0,,0.0,,0.0,0.0,743,,,1361
,0.0,,,,,,0.0,,,,,,,,,,,,0.0,,0.0,0.0,744,,,1362
,0.0,,,,,,0.0,,,,,,,,,,,,0.0,,0.0,0.0,745,,,1364
,0.0,,,,,,0.0,,,,,,,,,,,,0.0,,0.0,0.0,746,,,1365
,0.0,,,,,,0.0,,,,,,,,,,,,0.0,,0.0,0.0,747,,,1366
,0.0,,,,,,0.0,,,,,,,,,,,,0.0,,0.0,0.0,748,,,1367
,0.0,,,,,,0.0,,,,,,,,,,,,0.0,,0.0,0.0,749,,,1368
,0.0,,,,,,,,,,,,,,,,0.0,,0.0,,0.0,0.0,750,,,1369
,0.0,,,,,,,,,,,,,,,,0.0,,0.0,,0.0,0.0,751,,,1370
,0.0,,,,,,,,,,,,,,,,0.0,,0.0,,0.0,0.0,752,,,1371
,0.0,,,,,,,,,,,,,,,,0.0,,0.0,,0.0,0.0,753,,,1372
,0.0,,,,,,0.3,,,,,,,,,,,,0.0,,0.0,0.3,754,,,1373
,0.0,,,,,,0.0,,,,,,,,,,,,0.0,,0.0,0.0,755,,,1375
,0.0,,,,,,0.0,,,,,,,,,,,,0.0,,0.0,0.0,756,,,1376
,0.0,,,,,,,,,,,,,,,,0.0,,0.0,,0.0,0.0,757,,,1377
,3.0,,,,,,,,,,,,,,,,,,0.0,,0.0,3.0,758,,,1378
,0.0,,,,,,0.0,,,,,,,,,,,,0.0,,0.0,0.0,759,,,1379
,0.0,,,,,,0.0,,,,,,,,,,,,0.0,,0.0,0.0,760,,,1380
,0.0,,,,,,0.0,,,,,,,,,,,,0.0,,0.0,0.0,761,,,1381
,0.0,,,,,,0.0,,,,,,,,,,,,0.0,,0.0,0.0,762,,,1384
,0.0,,,,,,0.0,,,,,,,,,,,,0.0,,0.0,0.0,763,,,1386
,0.0,,,,,,,,,,,0.0,,,,,,,0.0,,0.0,0.0,764,,,1387
,0.0,,,,,,,,,,,,,,,,0.0,,0.0,,0.0,0.0,765,,,1388
,0.0,,,,,,,,,,,,,,,,0.0,,0.0,,0.0,0.0,766,,,1389
,0.0,,,,,,0.0,,,,,,,,,,,,0.0,,0.0,0.0,767,,,1390
,0.0,,,,,,,,,,,,,,,,0.0,,0.0,,0.0,0.0,768,,,1391
,0.0,,,,,,,,,,,,,,,,0.0,,0.0,,0.0,0.0,769,,,1392
,0.0,,,,,,5.0,,,,,,,,,,,,0.0,,0.0,5.0,770,,,1393
,0.0,,,,,,,,,,,,,,,,0.0,,0.0,,0.0,0.0,771,,,1394
,0.0,,,,,,,,,,,,,,,,0.0,,0.0,,0.0,0.0,772,,,1395
,0.0,,,,,,0.0,,,,,,,,,,,,0.0,,0.0,0.0,773,,,1397
,0.0,,,,,,0.0,,,,,,,,,,,,0.0,,0.0,0.0,774,,,1398
,0.0,,,,,,0.36,,,,,,,,,,,,0.0,,0.0,0.36,775,,,1399
,0.0,,,,,,,,,,,0.0,,,,,,,0.0,,0.0,0.0,776,,,1400
,0.0,,,,,,0.0,,,,,,,,,,,,0.0,,0.0,0.0,777,,,1401
,0.0,,,,,,0.0,,,,,,,,,,,,0.0,,0.0,0.0,778,,,1402
,0.0,,,,,,,,,,,,,,,,0.0,,0.0,,0.0,0.0,779,,,1403
,0.0,,,,,,,,,,,,,,,,0.0,,0.0,,0.0,0.0,780,,,1404
,0.0,,,,,,,,,,,,,,,,0.0,,0.0,,0.0,0.0,781,,,1405
,0.0,,,,,,,,,,,,,,,,0.0,,0.0,,0.0,0.0,782,,,1406
,0.0,,,,,,,,,,,,,,,,0.0,,0.0,,0.0,0.0,783,,,1407
,0.0,,,,,,0.0,,,,,,,,,,,,0.0,,0.0,0.0,784,,,1408
,0.0,,,,,,0.0,,,,,,,,,,,,0.0,,0.0,0.0,785,,,1409
,0.0,,,,,,0.0,,,,,,,,,,,,0.0,,0.0,0.0,786,,,1410
,0.0,,,,,,0.0,,,,,,,,,,,,0.0,,0.0,0.0,787,,,1411
,0.0,,,,,,0.0,,,,,,,,,,,,0.0,,0.0,0.0,788,,,1412
,0.0,,,,,,0.0,,,,,,,,,,,,0.0,,0.0,0.0,789,,,1413
,0.0,,,,,,0.0,,,,,,,,,,,,0.0,,0.0,0.0,790,,,1414
,0.0,,,,,,0.0,,,,,,,,,,,,0.0,,0.0,0.0,791,,,1415
,0.0,,,,,,0.0,,,,,,,,,,,,0.0,,0.0,0.0,792,,,1416
,0.0,,,,,,,,,,,,,,,,0.0,,0.0,,0.0,0.0,793,,,1417
,0.0,,,,,,,,,,,,,,,,0.0,,0.0,,0.0,0.0,794,,,1418
,0.0,,,,,,,,,,,0.6,,,,,,,0.0,,0.0,0.6,795,,,1419
,0.0,,,,,,0.0,,,,,,,,,,,,0.0,,0.0,0.0,796,,,1420
,0.0,,,,,,,,,,,,,,,,0.0,,0.0,,0.0,0.0,797,,,1421
,0.0,,,,,,0.0,,,,,,,,,,,,0.0,,0.0,0.0,798,,,1423
,0.0,,,,,,0.0,,,,,,,,,,,,0.0,,0.0,0.0,799,,,1424
,0.0,,,,,,,,,,,,,,,,0.3,,0.0,,0.0,0.3,800,,,1425
,0.0,,,1.042,,,,,,,,0.0,,,1.258,,,,0.0,,0.0,2.3,801,,,1427
,0.0,,,,0.0,,,,,,,0.0,,,,,0.0,,0.0,,0.0,0.0,802,,,1430
,0.0,,,,,,,,0.4,,,,,,,,,,0.0,,0.0,0.4,803,,,1431
,0.0,,,,0.7841,,,,,,,,,,,,,,0.0,,0.0,0.7841,804,,,1439
,0.0,,,,0.0,,,,,,,,,,,,,,0.0,,0.0,0.0,805,,,1444
,0.0,,,,,,,,,,,,,,,,0.3,,0.0,,0.0,0.3,806,,,1445
,0.0,,,,0.5,,,,,,,,,,,,,,0.0,,0.0,0.5,807,,,1446
,0.0,,,,0.0,,,,,,,,,,,,,,0.0,,0.0,0.0,808,,,1450
,0.0,,,,0.5,,,,,,,,,,,,,,0.0,,0.0,0.5,809,,,1451
