Allocation,ID,TIPID,LineItemName,FY18GasTax,FY18RICAPHIP,FY18RIHMA,FY18RICAPprojects,FY18RICAPfacilities,FY18ProjectCloseouts,FY18IWAYLandSales,FY18GARVEE,FY18TollRevenue,FY18RailwayProgram,FY18HSIP,FY18TAP,FY18NHPP,FY18CMAQ,FY18Planning,FY18STP,FY18NationalFreight,FY18NHTSA,FY18FTA,FY18Earmarks,FY18TollCredits,FY18TransitBond
1.0,29,1116,,,,,,,,,,,,,,,,,1.0,,,,0.0,0.0,0.0
0.15,30,1117,,0.15,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0
1.0,31,1118,,1.0,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0
12.7,32,1264,,,,1.21,,,,,,,,,,7.25,,,4.24,,,,0.0,0.0,0.0
2.5,33,1265,,,,0.5,,,,,,,,,,1.0,,,1.0,,,,0.0,0.0,0.0
0.0,34,1267,,,,,,,,,,,,,,0.0,,,,,,,0.0,0.0,0.0
0.2,35,1268,,,,,,,,,,,,,,0.2,,,,,,,0.0,0.0,0.0
0.0,36,1269,,,,,,,,,,,,,,0.0,,,,,,,0.0,0.0,0.0
0.0,37,1270,,,,,,,,,,,,,,0.0,,,,,,,0.0,0.0,0.0
3.7,38,1271,,,,,,,,,,,,,,3.7,,,,,,,0.0,0.0,0.0
0.0,39,1272,,,,,,,,,,,,,,0.0,,,,,,,0.0,0.0,0.0
0.0,40,1273,,,,,,,,,,,,,,0.0,,,,,,,0.0,0.0,0.0
0.0,41,1274,,,,,,,,,,,,,,0.0,,,,,,,0.0,0.0,0.0
0.0,42,1275,,,,,,,,,,,,,,0.0,,,,,,,0.0,0.0,0.0
0.0,43,1276,,,,,,,,,,,,,,0.0,,,,,,,0.0,0.0,0.0
3.5,44,1277,,,,,,,,,,,,,,3.5,,,,,,,0.0,0.0,0.0
0.0,45,1279,,,,,,,,,,,,,,0.0,,,,,,,0.0,0.0,0.0
0.0,46,1280,,,,,,,,,,,,,,0.0,,,,,,,0.0,0.0,0.0
0.0,47,1281,,,,,,,,,,,,,,0.0,,,,,,,0.0,0.0,0.0
0.0,48,1283,,,,,,,,,,,,,,0.0,,,,,,,0.0,0.0,0.0
0.0,49,1284,,,,,,,,,,,,,,0.0,,,,,,,0.0,0.0,0.0
0.0,50,1285,,,,,,,,,,,,,,0.0,,,,,,,0.0,0.0,0.0
4.0,51,1286,,,,,,,,,,,,,,4.0,,,,,,,0.0,0.0,0.0
0.0,52,1287,,,,,,,,,,,,,,0.0,,,,,,,0.0,0.0,0.0
0.0,53,1289,,,,,,,,,,,,,,0.0,,,,,,,0.0,0.0,0.0
0.0,54,1290,,,,,,,,,,,,,,0.0,,,,,,,0.0,0.0,0.0
4.5,55,1291,,,,,,,,,,,,,,4.5,,,,,,,0.0,0.0,0.0
0.0,56,1292,,,,,,,,,,,,,,0.0,,,,,,,0.0,0.0,0.0
0.0,57,1293,,,,,,,,,,,,,,0.0,,,,,,,0.0,0.0,0.0
0.0,58,1294,,,,,,,,,,,,,,0.0,,,,,,,0.0,0.0,0.0
0.0,59,1295,,,,,,,,,,,,,,0.0,,,,,,,0.0,0.0,0.0
2.45,60,1296,,,,,,,,,,,,,,,,,2.45,,,,0.0,0.0,0.0
0.0,61,1297,,,,,,,,,,,,,,0.0,,,,,,,0.0,0.0,0.0
0.0,62,1298,,,,,,,,,,,,,,0.0,,,,,,,0.0,0.0,0.0
0.0,63,1299,,,,,,,,,,,,,,0.0,,,,,,,0.0,0.0,0.0
0.0,64,1300,,,,,,,,,,,,,,0.0,,,,,,,0.0,0.0,0.0
0.0,65,1301,,,,,,,,,,,,,,0.0,,,,,,,0.0,0.0,0.0
0.1,66,1302,,,,,,,,,,,,,,,,,0.1,,,,0.0,0.0,0.0
0.0,67,1304,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,0.0
0.0,68,1305,,,,,,,,,,,,,,0.0,,,,,,,0.0,0.0,0.0
0.0,69,1306,,,,,,,,,,,,,,0.0,,,,,,,0.0,0.0,0.0
0.0,70,1307,,,,,,,,,,,,,,0.0,,,,,,,0.0,0.0,0.0
0.0,71,1308,,,0.0,,,,,,,,,,,,,,,,,,0.0,0.0,0.0
0.0,72,1309,,,0.0,,,,,,,,,,,,,,,,,,0.0,0.0,0.0
0.0,73,1311,,,0.0,,,,,,,,,,,,,,,,,,0.0,0.0,0.0
0.0,74,1313,,,,,,,,,,,,,,0.0,,,,,,,0.0,0.0,0.0
0.35,75,1314,,,,,,,,,,,,,,0.35,,,,,,,0.0,0.0,0.0
