TIPID,Municipalities,ID,LineItemName,FY19GasTax,FY19RICAPHIP,FY19RIHMA,FY19RICAPprojects,FY19RICAPfacilities,FY19ProjectCloseouts,FY19IWAYLandSales,FY19GARVEE,FY19TollRevenue,FY19RailwayProgram,FY19HSIP,FY19TAP,FY19NHPP,FY19CMAQ,FY19Planning,FY19STP,FY19NationalFreight,FY19NHTSA,FY19FTA,FY19Earmarks,FY19TollCredits,FY19TransitBond,FY19allocation
5005.0,Barrington,309.0,,,,0.0,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0
5012.0,"Central Falls, Cumberland",631.0,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0
5013.0,"Central Falls, Cumberland, Pawtucket",632.0,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0
5016.0,Charlestown,633.0,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0
5017.0,Coventry,634.0,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0
5045.0,E. Providence,338.0,,,,0.0,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0
5047.0,E. Providence,639.0,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0
5060.0,Jamestown,347.0,,,,0.0,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0
5061.0,Jamestown,348.0,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,0.0,0.0
5062.0,Jamestown,641.0,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0
5065.0,Johnston,644.0,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0
5066.0,"Johnston, N. Providence",645.0,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0
5078.0,"Middletown, Newport, Portsmouth",354.0,,,,0.0,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0
5079.0,"Middletown, Portsmouth",648.0,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0
5080.0,"Middletown, Portsmouth",649.0,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0
5081.0,"Middletown, Portsmouth",650.0,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0
5089.0,Narragansett,358.0,,,,1.14,,,,,,,,,,,,,,,,,0.0,0.0,0.0,1.14
5110.0,Newport,655.0,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0
5124.0,N. Kingstown,659.0,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0
5132.0,Pawtucket,661.0,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0
5153.0,Pawtucket,663.0,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0
5157.0,Pawtucket,408.0,,,,0.0,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0
5161.0,Portsmouth,411.0,,,,0.0,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0
5162.0,Portsmouth,412.0,,,,0.0,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0
