ID,TIPID,FY21allocation,FY22allocation,FY23allocation,FY24allocation,FY25allocation
29,1116,1.0,1.0,1.0,1.0,1.0
30,1117,0.15,0.15,0.15,0.15,0.15
31,1118,1.0,1.0,1.0,1.0,1.0
32,1264,0.0,0.0,0.0,0.0,0.0
33,1265,2.5,2.5,2.5,2.5,2.5
34,1267,0.0,0.0,0.0,0.0,0.0
35,1268,0.0,0.0,0.0,0.0,0.0
36,1269,0.0,0.0,0.0,0.0,0.0
37,1270,0.1,4.2,4.2,0.0,0.0
38,1271,0.0,0.0,0.0,0.0,0.0
39,1272,0.0,0.2,1.9,0.0,0.0
40,1273,0.0,0.0,0.0,0.0,0.0
41,1274,0.0,0.0,0.5,6.8,11.2
42,1275,0.0,0.0,0.0,0.5,15.5
43,1276,0.0,0.0,0.0,0.9,9.1
44,1277,0.0,0.0,0.0,0.0,0.0
45,1279,3.3,5.9,0.0,0.0,0.0
46,1280,0.0,0.0,0.0,0.9,9.6
47,1281,0.0,0.0,0.2,2.2,0.0
48,1283,0.0,0.0,0.0,0.7,7.3
49,1284,0.0,0.0,0.0,0.0,0.0
50,1285,0.0,0.0,0.6,3.2,3.2
51,1286,0.0,0.0,0.0,0.0,0.0
52,1287,0.0,0.0,0.0,0.5,5.0
53,1289,0.0,0.3,5.4,0.0,0.0
54,1290,1.4,0.0,0.0,0.0,0.0
55,1291,0.0,0.0,0.0,0.0,0.0
56,1292,0.0,4.5,0.4,0.0,0.0
57,1293,0.0,0.8,8.0,0.0,0.0
58,1294,0.0,0.0,0.0,0.1,2.2
59,1295,0.2,2.5,0.0,0.0,0.0
60,1296,0.0,0.0,0.0,0.0,0.0
61,1297,0.0,0.0,0.2,2.0,0.0
62,1298,0.0,0.0,0.4,3.8,0.0
63,1299,0.25,1.3,0.0,0.0,0.0
64,1300,0.0,0.0,0.0,0.0,0.0
65,1301,0.0,0.0,0.5,2.3,3.3
66,1302,0.0,0.0,0.0,0.0,0.0
67,1304,0.0,0.0,0.0,0.1,1.4
68,1305,0.0,0.0,0.0,0.0,0.0
69,1306,0.0,0.3,2.7,0.0,0.0
70,1307,0.0,0.2,1.7,0.0,0.0
71,1308,1.9,0.0,0.0,0.0,0.0
72,1309,0.5,0.0,0.0,0.0,0.0
73,1311,0.0,0.0,0.0,0.1,0.35
74,1313,0.0,0.0,0.0,0.3,2.9
75,1314,0.0,0.0,0.0,0.0,0.0
76,1315,0.0,0.0,0.0,0.3,3.5
77,1316,0.0,0.0,0.0,0.0,0.0
78,1317,0.0,0.0,2.1,0.0,0.0
79,1318,0.0,0.35,3.75,0.0,0.0
80,1319,0.0,0.1,0.4,0.0,0.0
81,1321,0.0,0.0,0.2,1.7,0.0
82,1322,0.0,0.0,0.2,1.9,0.0
83,1323,0.0,0.0,0.0,0.0,0.0
84,1324,0.0,0.0,0.1,1.6,0.0
85,1325,0.0,0.0,0.0,0.0,0.0
86,1326,0.0,0.0,0.4,2.4,2.0
87,1327,0.0,0.0,0.0,0.0,0.0
88,1328,0.0,0.0,0.0,0.0,0.0
89,1329,0.0,0.0,0.0,0.0,0.0
90,1330,0.0,0.0,0.0,0.0,0.0
91,1331,0.0,0.2,1.7,0.0,0.0
92,1332,0.0,0.0,0.0,0.05,0.55
93,1333,0.0,0.0,0.0,0.05,0.65
94,1334,1.3,0.0,0.0,0.0,0.0
95,1335,0.0,0.0,0.0,0.0,0.0
96,1336,0.0,0.1,1.3,0.0,0.0
97,1337,0.0,0.15,1.3,0.0,0.0
98,1338,0.0,0.0,0.0,0.0,0.0
99,1339,5.7,0.0,0.0,0.0,0.0
100,1340,0.0,0.0,0.2,2.0,0.0
101,1341,0.0,0.0,0.0,0.2,1.9
102,1342,0.0,0.1,0.6,0.0,0.0
103,1343,0.0,0.0,0.0,0.0,0.0
104,1346,0.0,0.1,1.0,0.0,0.0
105,1347,0.4,2.6,0.0,0.0,0.0
106,1348,0.2,1.3,0.0,0.0,0.0
107,1349,0.0,0.0,0.0,0.05,0.35
108,1350,0.0,0.0,0.0,0.2,1.9
109,1351,0.0,0.0,0.2,1.6,0.0
110,1352,2.5,0.0,0.0,0.0,0.0
111,1353,0.0,0.0,0.0,0.0,0.0
112,1354,0.0,0.0,0.1,1.2,0.0
113,1355,0.0,0.0,0.1,0.0,0.7
114,1357,0.0,0.0,0.0,0.1,1.5
115,1358,0.0,0.0,0.0,0.0,0.0
116,1359,0.0,0.0,0.0,0.1,1.6
117,1360,0.0,0.0,0.0,0.0,0.0
118,1361,0.0,0.0,0.0,0.0,0.0
119,1362,0.0,0.4,3.0,1.0,0.0
120,1364,0.0,0.0,0.0,0.0,0.0
121,1365,0.0,0.0,0.4,4.2,0.0
122,1366,0.0,0.0,0.0,0.0,0.0
123,1367,0.0,0.0,0.0,0.1,0.9
124,1368,0.0,0.0,0.0,0.0,0.0
125,1369,0.0,0.0,0.0,0.2,1.4
126,1370,0.0,0.0,0.0,0.2,1.9
127,1371,0.0,0.1,1.3,0.0,0.0
128,1372,0.0,0.0,0.1,1.25,0.0
129,1373,0.0,0.0,0.0,0.0,0.0
130,1375,0.0,0.2,2.6,0.0,0.0
131,1376,0.0,0.24,1.3,1.2,0.0
132,1377,0.0,0.1,0.9,0.0,0.0
133,1378,0.0,0.0,0.0,0.0,0.0
134,1379,4.6,9.5,0.6,0.0,0.0
135,1380,0.3,3.6,0.0,0.0,0.0
136,1381,0.0,0.0,0.0,0.0,0.0
137,1384,0.0,0.0,0.0,0.0,0.0
138,1386,0.0,0.2,2.5,0.0,0.0
139,1387,0.0,0.0,0.0,0.1,1.1
140,1388,0.0,0.0,0.0,0.0,0.0
141,1389,0.0,0.0,0.0,0.0,0.0
142,1390,0.0,0.0,0.0,0.0,0.0
143,1391,0.0,0.0,0.0,0.0,0.0
144,1392,0.0,0.0,0.4,4.4,0.0
145,1393,0.0,0.0,0.0,0.0,0.0
146,1394,0.0,0.0,0.0,0.4,4.3
147,1395,0.0,0.0,0.0,0.0,0.0
148,1397,0.3,6.3,0.0,0.0,0.0
149,1398,0.0,0.0,0.0,0.0,0.0
150,1399,4.3,0.0,0.0,0.0,0.0
151,1400,0.0,0.0,0.1,1.3,0.0
152,1401,0.0,0.0,0.0,0.0,0.0
153,1402,0.0,0.3,2.5,0.0,0.0
154,1403,4.1,0.0,0.0,0.0,0.0
155,1404,1.6,0.0,0.0,0.0,0.0
156,1405,0.0,0.0,0.3,3.3,0.0
157,1406,0.0,0.0,0.0,0.1,1.1
158,1407,0.0,0.0,0.0,0.15,1.25
159,1408,0.0,0.0,0.1,0.6,0.0
160,1409,0.0,0.0,0.6,3.4,3.2
161,1410,0.0,0.0,0.4,4.0,0.0
162,1411,0.4,3.6,0.0,0.0,0.0
163,1412,0.0,0.0,0.0,0.2,2.5
164,1413,0.0,0.0,0.0,0.5,4.2
165,1414,3.2,0.0,0.0,0.0,0.0
166,1415,0.0,0.0,0.0,0.0,0.0
167,1416,1.3,0.0,0.0,0.0,0.0
168,1417,0.0,1.3,0.15,0.5,0.0
169,1418,0.0,0.0,0.0,0.0,0.0
170,1419,0.0,0.0,0.0,0.0,0.0
171,1420,0.0,0.0,0.0,0.2,1.8
172,1421,0.0,0.0,0.0,0.0,0.0
